CODICE,x,y,z,COMUNE,INFO,PROVINCIA,SETTORE,STRAT.,FALDA,ORIGINE
0152100004,1530910.0,5030970.0,98.6,SETTALA,depuratore,MI - Città,17.0,X,1,PTUA2003
0152110005,1505114.0,5036454.0,132.82,SETTIMO MILANESE,v.Fermi,MI - Par.,16.0,,2,PTUA2003
0152130001,1505849.0,5051473.0,211.36,SOLARO,v. Drizza,,,,,PTUA2003
0152130021,1506695.0,5051430.0,208.0,SOLARO,v. S.Paolo,MI - Par.,7.0,X,3,PTUA2003
0152160005,1520190.0,5054875.0,174.26,SOVICO,Beta spa-via Volta,,,,,PTUA2003
0181520001,1527070.0,4997630.0,68.5,SPESSA,via delle Betulle,,,,,PTUA2003
0152170007,1533555.0,5053640.0,230.2,SULBIATE,4 novembre,,,,,PTUA2003
0152200001,1504740.0,5029600.0,113.21,TREZZANO SUL NAVIGLIO,via Edison,,,,,PTUA2003
0152210001,1540543.0,5051091.0,141.68,TREZZO SULL'ADDA,via Visconti,MI - Par.,19.0,X,1,PTUA2003
0152220001,1528826.0,5027968.0,94.78,TRIBIANO,Puccini,,,,,PTUA2003
0152230007,1521240.0,5055620.0,181.37,TRIUGGIO,via Kennedy,,,,,PTUA2003
0980580002,1548759.0,5010831.0,59.95,TURANO LODIGIANO,via 25 Aprile,,,,,PTUA2003
0980590001,1526403.0,5011526.0,72.35,VALERA FRATTA,serb.scuola materna,,,,,PTUA2003
0181690010,1517310.0,5000450.0,64.1,VALLE SALIMBENE,C.na Moncucca,,,,,PTUA2003
0152490002,1483170.0,5047350.0,164.42,VANZAGHELLO,via Roma II,,,,,PTUA2003
0152490004,1482365.0,5046720.0,191.5,VANZAGHELLO,C.La Fogna,,,,,PTUA2003
0152490020,1482365.0,5046720.0,191.5,VANZAGHELLO,C.La Fogna piez,,,,,PTUA2003
0152300003,1540700.0,5046980.0,129.08,VAPRIO D'ADDA,via Pozzo-serb.,,,,,PTUA2003
0152340016,1518620.0,5059065.0,183.11,VERANO BRIANZA,via Sabbionette,,,,,PTUA2003
0152350001,1498622.0,5026499.0,113.52,VERMEZZO,via Dante,MI - Par.,19.0,X,2,PTUA2003
0152360003,1506074.0,5019418.0,100.79,VERNATE,Pasturago,MI - Città,17.0,X,2,PTUA2003
0181800003,1526970.0,5009965.0,77.0,VILLANTERIO,fraz.Bolognola,,,,,PTUA2003
0152410041,1528045.0,5053045.0,180.79,VIMERCATE,IBM pozzo E,MI - MONZA,9.0,,,PTUA2003
0152420041,1521660.0,5039578.0,114.2,VIMODRONE,FEM v.La Torre,,,,,PTUA2003
