CODICE,COMUNE,x,y,z,INFO,PROVINCIA,STRAT.,FALDA,SETTORE
3(5),ROVELLASCA,1504185.0,5057342.0,247.0,via Dante  Cons. Lura Ambiente   pozzo 2,CO,X,MISTA,2.0
30,LANDRIANO,1520920.0,5017805.0,86.8,Strada Cerca  4,PV,,,20.0
4 bis,FIGINO SERENZA,1510815.0,5061625.0,300.0,Loc Campaccio  soc. Pragma spa,CO,,,3.0
4(6),FENEGRÒ,1500090.0,5061970.0,305.0,Via Trento  Antiga Spa   pozzo 2,CO,X,2,2.0
4-S22,PAVIA,1510910.0,5006400.0,82.6,Campeggi 1  40,PV,,,22.0
4-S7,ROVELLO PORRO,1503030.0,5056525.0,245.0,Via don Ballabio  Consorzio Lura Ambiente spa,CO,,,7.0
5,LIMIDO COMASCO,1498324.0,5059851.0,280.0,via Vicolo Scalini  Antiga Spa   pozzo 2,CO,X,2,2.0
5 bis,MARIANO COMENSE,1514310.0,5060568.0,255.0,Via S. D'Acquisto  Pragma S.P.A,CO,,3,3.0
6,CURA,1520475.0,5007050.0,71.4,Borghetto  1,PV,X,2,22.0
6(8),BULGAROGRASSO,1500420.0,5065600.0,327.0,via Montichiari  Az. Colline Comasche pozzo 1,CO,X,2,2.0
62,SIZIANO,1515665.0,5017899.0,89.9,via I Maggio  2,PV,X,2,20.0
63,GIUSSAGO,,,86.7,Via F.lli Cervi  5,PV,,,19.0
7(9),BREGNANO,1503775.0,5061925.0,285.0,loc. Puginate  Cons. Lura Ambiente   pozzo 6,CO,X,2,2.0
7-S2,APPIANO GENTILE,1498475.0,5064290.0,352.0,Via Mazzini  Comune,CO,,2,2.0
7-S20,BORNASCO,1517200.0,5012745.0,82.0,presso Municipio  1,PV,X,1,20.0
8,GIUSSAGO,1511200.0,5014400.0,92.0,via Papa Giov. XXIII   2,PV,X,2,19.0
8(10),FINO MORNASCO,1504625.0,5065990.0,299.0,Cascina Pazzea  Az.Colline Comasche   pozzo 2,CO,X,2,2.0
9,TORRE D'ARESE,1525160.0,5009820.0,77.4,via Morivione  1,PV,X,3,20.0
9(12),CARIMATE,1508600.0,5060822.0,244.0,Valle Serenza  Canturina Servizi spa   pozzo 2,CO,x,2,3.0
0980020002,BERTONICO,1552858.0,5009264.0,46.44,via Garibaldi,LO,X,2,24.0
0980040007,BORGHETTO,1539108.0,5004665.0,53.0,LODIGIANO Casoni 3,,,,
0980070001,CAMAIRAGO,1556980.0,5006056.0,47.85,via 4 Novembre,,,,
0980100003,CASALPUSTERLENGO,1550786.0,5003618.0,54.95,via Cadorna,,,,
0980110001,CASELLE LANDI,1562239.0,4994652.0,45.34,via Roma I,,,,
0980130001,CASTELNUOVO BOCCA D'ADDA,1568202.0,4995450.0,36.1,via Cairoli serb.,,,,
0980150003,CASTIRAGA VIDARDO,1530789.0,5012188.0,67.95,C.na Pollarana,,,,
0980170003,CAVENAGO D'ADDA,1547241.0,5014694.0,70.73,v.Valsecchi serb.,LO,X,1,21.0
0980170064,CAVENAGO D'ADDA,1544810.0,5014760.0,73.0,Soltarico,LO,,,21.0
0980180001,CERVIGNANO D'ADDA,1533303.0,5024632.0,81.68,p.za Caduti,LO,X,1,21.0
0980200001,COMAZZO,1536534.0,5032132.0,93.02,p.za Caduti,LO,X,2,21.0
0980230001,CORNOVECCHIO,1562792.0,5056473.0,40.29,Municipio,,,,
0980260002,FOMBIO,1554292.0,4998880.0,42.26,via Giovanni XXIII,LO,X,2,24.0
0980280001,GRAFFIGNANA,1535471.0,5006700.0,64.27,via Milano - serb.,LO,X,2,23.0
0980320002,LODIVECCHIO,1532570.0,5016525.0,74.23,via Cabrini-serb.,LO,X,2,21.0
0980330001,MACCASTORNA,1567299.0,4999597.0,38.85,via Roma,LO,X,2,24.0
0980350002,MALEO,1560100.0,5001920.0,44.76,p.za 25 Aprile,LO,X,1,24.0
0980400001,MONZA,1522947.0,5051402.0,166.86,Parco-Golf Club,,,,
0980410001,MULAZZANO,1531414.0,5024506.0,84.74,via Lago Maggiore,,,,
0980420003,ORIO LITTA,1543820.0,5000952.0,51.5,via Pio Rossi,LO,X,1,24.0
0980450001,PIEVE FISSIRAGA,1535548.0,5013741.0,72.89,C.na S.Antonio,,,,
0980480003,SAN MARTINO IN STRADA,1541478.0,5013387.0,70.16,via F.Aporti-serb.,,,,
0980490001,SAN ROCCO AL PORTO,1554770.0,4992220.0,43.59,via Acquedotto,LO,X,1,24.0
0980500005,SANT'ANGELO LODIGIANO,1532041.0,5007048.0,68.25,fraz.Ranera,LO,X,1,23.0
0980530003,SENNA,1546645.0,4999934.0,47.89,LODIGIANA via Acquedotto,,,,
0980580002,TURANO LODIGIANO,1548759.0,5010831.0,59.95,via 25 Aprile,,,,
0980590001,VALERA FRATTA,1526403.0,5011526.0,72.35,serb.scuola materna,,,,
0981900003,SALERANO,1530130.0,5015585.0,80.48,nan ,LO,,,21.0
0D151460000,MIRADOLO TERME,1535650.0,5001980.0,71.5,via Baratti,,,,
0D151540007,NERVIANO PASUBIO,1497539.0,5044446.0,174.58,sotto,,,,
PC097020003,CERNUSCO LOMBARDONE,1530522.0,5059523.0,248.0,VILLA ,LC,X,2,4.0
PC097039001,IMBERSAGO,1535411.0,5060791.0,198.0,ROBBIATE1- via dei Mulini ,LC,X,2,4.0
PC097039003,IMBERSAGO,1534898.0,5062596.0,196.0,PONTICELLO- Strada Alzaia ,LC,X,2,4.0
PC097048001,MERATE,1531012.0,5061302.0,266.0,REGONDINO ,LC,X,2,4.0
PC097061011,OSNAGO,1530797.0,5057843.0,246.0,STATALE -via Statale ,LC,X,2,4.0
PC09788001,VERDERIO SUPERIORE,1533927.0,5057534.0,248.0,SAN CARLO - via San Carlo ,LC,X,2,4.0
PC15227001,USMATE VELATE,1527651.0,5056898.0,239.5,VALAPERTA1 ,LC,X,2,4.0
PI097016101,CASATENOVO,1524964.0,5058591.0,294.1,MAGGIONI (EX PIRROTTA) ,LC,X,2,4.0
PI097049101,MISSAGLIA,1528143.0,5059731.0,274.5,BRIVIO ,LC,X,2,4.0
PO1200200800T0,ALBIZZATE,1485030.0,5065340.0,317.9,via G. Rossa 8 ,VA,X,SUPERF.,1.0
PO1202602103T0,BUSTO ARSIZIO,1486405.0,5048283.0,210.5,ZONA INDUSTRIALE ,VA,,,5.0
PO1203600300T0,CASALE LITTA,1479360.0,5065190.0,280.72,Firello - Villa Dosia ,VA,X,SUPERF. (acquifero locale),1.0
PO1207000900T0,GALLARATE,1483140.0,5055620.0,235.0,via Alberone - via Ferrari ,VA,X,SUPERF. (acquifero locale),5.0
PO1207002201T0,GALLARATE,1482360.0,5058150.0,271.0,via Monte S. Martino ,VA,X,MISTA,5.0
PO1207502002T0,GERENZANO,1497940.0,5052150.0,220.65,Discarica - controllo ,VA,X,SUPERF.,6.0
PO1209000902T0,LONATE POZZOLO,1477670.0,5005023.0,207.4,via Molinelli - Bellaria ,VA,X,SUPERF.,5.0
PO1209000903T0,LONATE POZZOLO,1477670.0,5050230.0,207.45,via Molinelli - Bellaria ,VA,X,PROFONDA,5.0
PO1210601101T0,MORNAGO,1480820.0,5064970.0,289.4,VINAGO ,VA,,,1.0
PO1210601504T0,MORNAGO,1481720.0,5065240.0,289.7,Montonate ,VA,X,SUPERF. (acquifero locale),1.0
PO1211800500T0,SAMARATE,1481085.0,5052910.0,223.7,via Mezzomonte - C. Costa ,VA,X,SUPERF.,5.0
PO1212000200T0,SESTO CALENDE,1471395.0,5064270.0,208.22,Abbazia S.P.S. Donato ,VA,X,PROFONDA (valle Ticino),1.0
0codice_mancante_1,MASATE,1537385.0,5045310.0,150.0,v.Bergamasca,,,,
