CodiceSIF,COD_LOCALE,TIPO,TIPOLOGIA,COMPARTO,COMUNE,X_GB,Y_GB,QUOTA,PROF,FILTRO_DA,FILTRO_A
U_P4,P4,POZ,SUP,UNIONE,Sesto San Giovanni,1519451.78,5043042.48,143.24,40,16,36
U_P5,P5,POZ,SUP,UNIONE,Sesto San Giovanni,1519596.15,5043237.89,143.88,40,16,36
U_PP,Pozzo Pilota,POZ,SUP,UNIONE,Sesto San Giovanni,1519145,5042970,-999,40,22,38
U_PS6,PzPS6,PIE,SUP/PROF,UNIONE,Sesto San Giovanni,1519029.71,5043051.08,143.34,100,14,100
U_Pz1,Pz1,PIE,SUP,UNIONE,Sesto San Giovanni,1519139.097,5042977.182,143.34,30,20,30
U_Pz2,Pz2,PIE,SUP,UNIONE,Sesto San Giovanni,1519143.708,5042976.313,142.9,30,20,30
U_PzP1_7.5m,PzP1 – 7.5m,PIE,SUP,UNIONE,Sesto San Giovanni,1518867.92,5042934.93,142.73,40,12,40
U_PzP2_10m,PzP2 – 10m,PIE,SUP,UNIONE,Sesto San Giovanni,1519069.88,5042871.19,142.95,40,12,40
U_PzP2_7.5m,PzP2 – 7.5m,PIE,SUP,UNIONE,Sesto San Giovanni,1519081.77,5042874.24,142.6,40,12,40
U_PzP3_7.5m,PzP3 – 7.5m,PIE,SUP,UNIONE,Sesto San Giovanni,1519277.85,5042878.38,142.61,40,12,40
U_PzP4_10m,PzP4 – 10m,PIE,SUP,UNIONE,Sesto San Giovanni,1519441.03,5043041.26,143.02,40,12,40
U_PzP4_7.5m,PzP4 – 7.5m,PIE,SUP,UNIONE,Sesto San Giovanni,1519449.07,5043035.1,142.92,40,20,40
U_PzP5_7.5m,PzP5 – 7.5m,PIE,SUP,UNIONE,Sesto San Giovanni,1519589.87,5043242.26,143.33,40,12,40
U_PzP6,PzP6,PIE,SUP/PROF,UNIONE,Sesto San Giovanni,1518987.35,5042873.93,142.28,90,12,90
U_PzPa,PzPa,PIE,SUP/PROF,UNIONE,Sesto San Giovanni,1519233.49,5043333.22,144.28,92,12,92
U_PzPb,PzPb,PIE,SUP/PROF,UNIONE,Sesto San Giovanni,1519688.97,5043691.67,144.95,90,12,90
RFI_PZ8,PZ8,PIE,SUP,SCALO_FERROVIARIO,Sesto San Giovanni,1518882.47,5043286.59,144.12,40,20,40
RFI_PZ9,PZ9,PIE,SUP,SCALO_FERROVIARIO,Sesto San Giovanni,1519023.04,5043479.52,144.21,40,20,40
RFI_PZ10,PZ10,PIE,SUP,SCALO_FERROVIARIO,Sesto San Giovanni,1519165.08,5043692.36,144.45,40,20,40
PZVP4,PZVP4,PIE,SUP,ESTERNO,Sesto San Giovanni,1518877.26,5042895.09,142.59,40,20,40
PZVP5,PZVP5,PIE,SUP,ESTERNO,Sesto San Giovanni,1519074.54,5042740.73,142.25,40,20,40
0152090122,pozzo 4,POZ,PROF,EDISON,Sesto San Giovanni,1519970,5043310.00,138.67,70,52,66.4
0152090119,pozzo 3,POZ,PROF,EDISON,Sesto San Giovanni,1519770,5043340.00,142,73,52.5,66
0152090511,PzC1,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519975.469,5043069.426,142.235,40,12,40
0152090512,PzC2,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520041.365,5043029.958,142.404,40,12,40
0152090513,PzC3,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520128.792,5043026.206,142.188,40,12,40
0152090514,PzC4,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520201.67,5043035.549,141.672,40,12,40
0152090515,PzC5,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519919.821,5042910.379,141.757,40,12,40
0152090516,PzC6,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519960.029,5042842.169,136.08,40,12,40
0152090517,PzC7,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520063.43,5042880.302,134.16,40,12,40
0152090518,PzC8,PIE,SUP,CONCORDIA,Sesto San Giovanni,1520157.897,5042938.518,142.193,40,12,40
0152090519,PzC9,PIE,SUP,CONCORDIA,Sesto San Giovanni,1519825.792,5042774.15,142.341,40,12,40
