gid,id_punto,fkid,data,codice_campagna,secco,prodotto,spessore_prodotto,quota_falda,soggiacenza,quota_ref,riferimento_soggiacenza,fonte,note
225,PO012002NU0008,33,2002-04-01,,no,,,295.02,,313.8,non noto,PTUA2022-PTUA2003,
226,PO012002NU0008,33,2002-05-01,,no,,,301.07,,313.8,non noto,PTUA2022-PTUA2003,
227,PO012002NU0008,33,2002-06-01,,no,,,302.55,,313.8,non noto,PTUA2022-PTUA2003,
228,PO012002NU0008,33,2002-07-01,,no,,,302.23,,313.8,non noto,PTUA2022-PTUA2003,
229,PO012002NU0008,33,2002-08-01,,no,,,303.06,,313.8,non noto,PTUA2022-PTUA2003,
230,PO012002NU0008,33,2002-09-01,,no,,,302.48,,313.8,non noto,PTUA2022-PTUA2003,
231,PO012002NU0008,33,2003-01-01,,no,,,307.12,,313.8,non noto,PTUA2022-PTUA2003,
232,PO012002NU0008,33,2003-02-01,,no,,,305.66,,313.8,non noto,PTUA2022-PTUA2003,
233,PO012002NU0008,33,2011-09-01,,no,,,304.55,,313.8,non noto,PTUA2022-PTUA2003,
234,PO012002NU0008,33,2011-10-01,,no,,,304.59,,313.8,non noto,PTUA2022-PTUA2003,
235,PO012002NU0008,33,2011-11-01,,no,,,306.7,,313.8,non noto,PTUA2022-PTUA2003,
236,PO012002NU0008,33,2011-12-01,,no,,,306.28,,313.8,non noto,PTUA2022-PTUA2003,
237,PO012002NU0008,33,2012-01-01,,no,,,306.09,,313.8,non noto,PTUA2022-PTUA2003,
238,PO012002NU0008,33,2012-02-01,,no,,,304.44,,313.8,non noto,PTUA2022-PTUA2003,
239,PO012002NU0008,33,2012-03-01,,no,,,304.01,,313.8,non noto,PTUA2022-PTUA2003,
240,PO012002NU0008,33,2012-04-01,,no,,,306.38,,313.8,non noto,PTUA2022-PTUA2003,
241,PO012002NU0008,33,2012-05-01,,no,,,305.86,,313.8,non noto,PTUA2022-PTUA2003,
242,PO012002NU0008,33,2012-06-01,,no,,,306.27,,313.8,non noto,PTUA2022-PTUA2003,
243,PO012002NU0008,33,2012-07-01,,no,,,305.7,,313.8,non noto,PTUA2022-PTUA2003,
244,PO012002NU0008,33,2012-08-01,,no,,,304.19,,313.8,non noto,PTUA2022-PTUA2003,
245,PO012002NU0008,33,2012-09-01,,no,,,303.71,,313.8,non noto,PTUA2022-PTUA2003,
246,PO012002NU0008,33,2012-10-01,,no,,,301.85,,313.8,non noto,PTUA2022-PTUA2003,
247,PO012002NU0008,33,2012-11-01,,no,,,304.53,,313.8,non noto,PTUA2022-PTUA2003,
248,PO012002NU0008,33,2012-12-01,,no,,,305.06,,313.8,non noto,PTUA2022-PTUA2003,
249,PO012002NU0008,33,2013-01-01,,no,,,305.07,,313.8,non noto,PTUA2022-PTUA2003,
250,PO012002NU0008,33,2013-02-01,,no,,,305.05,,313.8,non noto,PTUA2022-PTUA2003,
251,PO012002NU0008,33,2013-03-01,,no,,,306.1,,313.8,non noto,PTUA2022-PTUA2003,
252,PO012002NU0008,33,2013-07-01,,no,,,303.81,,313.8,non noto,PTUA2022-PTUA2003,
253,PO012002NU0008,33,2013-08-01,,no,,,303.46,,313.8,non noto,PTUA2022-PTUA2003,
254,PO012002NU0008,33,2013-09-01,,no,,,303.49,,313.8,non noto,PTUA2022-PTUA2003,
255,PO012002NU0008,33,2013-10-01,,no,,,303.3,,313.8,non noto,PTUA2022-PTUA2003,
