DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO0131590U0001,PO015041NR0075,PO015051NR0012,PO015062NR0071,PO015113NUP001,PO015146NU1534,PO015194NU0017,PO0970200U0002,PO0970200U0003,PO0970480U0001,PO0970610U0015,PO108033NR0142,PO108033NU0243
2008-10-01,,-1.9379315108528288,-1.2815515655446004,-1.0491313979639707,-1.9599639845400545,-1.2815515655446004,-0.45376219016987945,-1.1503493803760079,,,-1.2815515655446004,0.0784124127331122,-1.9599639845400545,-1.4395314709384563,-0.7554150263604693,,-1.8027430907391904,,,,,,-1.4121875789061642,,0.0,0.06270677794321357,0.18911842627279238,0.3406948270877954,,
2008-11-01,,-1.9379315108528288,-1.2815515655446004,-1.0491313979639707,-1.4395314709384563,-1.2815515655446004,-0.18911842627279252,-1.1503493803760079,,,-1.318010897303537,0.0784124127331122,-1.9599639845400545,-0.7554150263604693,-0.7554150263604693,,-1.8027430907391904,,,,,,-1.4121875789061642,,-0.3406948270877956,-0.31863936396437514,-0.06270677794321385,0.0,,
2008-12-01,,-1.4121875789061642,-1.009990169249582,-1.0491313979639707,-1.4395314709384563,-1.318010897303537,-0.06270677794321385,-1.1503493803760079,,,-1.318010897303537,0.0784124127331122,-1.9599639845400545,-0.5977601260424786,0.18911842627279238,,-1.2418667918433202,,,,,,-1.4121875789061642,,-0.16789400478810546,0.06270677794321357,0.4537621901698793,0.16789400478810546,,
2009-01-01,,-1.4395314709384563,-1.009990169249582,-0.35549041783953095,-1.465233792685523,-1.009990169249582,-0.18911842627279252,-0.31863936396437514,,,-0.579132162255556,0.7764217611479277,-0.9345892910734802,1.1503493803760079,0.7554150263604691,,-0.920822976368379,,,,,,-1.4395314709384563,,-0.3406948270877956,-0.06270677794321385,0.06270677794321357,0.7764217611479277,,
2009-02-01,,-1.4395314709384563,-1.009990169249582,0.06968492031845568,-1.465233792685523,-0.7764217611479277,-0.11964811303984217,-0.18911842627279252,,,-1.009990169249582,0.7764217611479277,-0.45376219016987945,0.7554150263604691,0.7554150263604691,,-0.6744897501960817,-1.7688250385187065,,,,,-1.1503493803760079,,0.40225006532172536,0.4537621901698793,0.5977601260424784,1.318010897303537,,
2009-03-01,,-0.9345892910734802,-0.579132162255556,-0.06968492031845568,-1.1797611176118612,-0.7764217611479277,-0.24104039388602685,-0.18911842627279252,,,-1.009990169249582,1.009990169249582,0.18911842627279238,-0.7554150263604693,0.7554150263604691,,-0.3406948270877956,-1.7688250385187065,,,,,-1.1503493803760079,,1.318010897303537,0.7554150263604691,1.1503493803760079,0.7764217611479277,,
2009-04-01,,-0.9345892910734802,-0.7764217611479277,-0.35549041783953095,-1.1797611176118612,-0.7764217611479277,-0.3661063568005698,-0.31863936396437514,,,-1.009990169249582,0.7764217611479277,0.93458929107348,0.93458929107348,0.7554150263604691,,-0.16789400478810546,-1.7688250385187065,,,,,-1.1503493803760079,,0.579132162255556,0.5977601260424784,0.7554150263604691,0.7764217611479277,,
2009-05-01,,-0.899434907667234,-0.3406948270877956,0.1479871097258389,-1.1503493803760079,-0.7279132908816442,-0.45376219016987945,0.0,,,-0.7279132908816442,0.7279132908816441,0.899434907667234,0.899434907667234,0.899434907667234,,-0.27188000539926105,-1.731664396122245,,,,,-1.11895838106256,,0.967421566101701,1.11895838106256,1.11895838106256,0.7279132908816441,,
2009-06-01,,-0.899434907667234,-0.3406948270877956,-0.1479871097258389,-1.1503493803760079,-0.7279132908816442,0.4537621901698793,0.5549229427026537,,,-0.7279132908816442,0.7279132908816441,0.7164975001779914,1.9379315108528297,1.9379315108528297,,-0.27188000539926105,-1.731664396122245,,,,,-1.11895838106256,,0.967421566101701,1.11895838106256,1.11895838106256,0.7279132908816441,,
2009-07-01,,-0.7164975001779913,-0.3406948270877956,0.2993069104656671,-0.9345892910734802,-0.7279132908816442,-0.31863936396437514,0.4067242518713638,,,-0.7279132908816442,0.7279132908816441,0.26699412540495254,1.9379315108528297,0.899434907667234,,0.27188000539926077,-1.731664396122245,,,,,-1.11895838106256,,0.7279132908816441,0.899434907667234,0.4067242518713638,0.7279132908816441,,
