CODICE_SIF,CODICE_PP,PROVINCIA,COMUNE,DITTA_INDIRIZZO,DENOMINAZIONE,TIPO,X,Y,Z_BOCCA_POZZO,MOD_COORDINATE,FONTE_COORDINATE,PROFONDITA,FILTRI_DA,FILTRI_A,MODIFICAFILTRI_PROFONDITA,FILTRI,QUOTA_DTM,BASE_A_SLM,BASE_B_SLM,BASE_ISS_SLM,BASE_ISI_SLM,TIPO_FALDA,CLASSIFICAZIONE_POLITECNICO,CLASSIFICAZIONE_EUPOLIS,SCHEDA_STRATIGRAFICA,LIVELLI_FALDA,N_PRATICA_AGISCO,FONTE
0152200119,PO0152200R0119,MI,TREZZANO SUL NAVIGLIO,NEW INTERLITHO,,PIEZOMETRO,1505158,5029849,,,,ND,ND,ND,,,115.93,78.2464,-3.32928,70.24391,-2.55085,SEPARATA,A,DUBBIO,,,,progPLUMES
0152200120,PO0152200R0120,MI,TREZZANO SUL NAVIGLIO,a,,PIEZOMETRO,1505183,5029826,,,,10,ND,ND,,,115.79,78.25387,-3.39861,70.24391,-2.55085,SEPARATA,A,ISS,,,,progPLUMES
0152200122,PO0152200R0122,MI,TREZZANO SUL NAVIGLIO,MAFLOW - Via boccaccio 1 - MW 14,,PIEZOMETRO,1504662,5029398,,,,9,ND,ND,,,115.66,77.93816,-4.06583,69.6523,-5.06517,SEPARATA,A,ISS,,,,progPLUMES
0152200124,PO015220NR0124,MI,TREZZANO SUL NAVIGLIO,MAFLOW - piezometro MWE1,,PIEZOMETRO,1504617,5029242,,,,15,ND,ND,,,115.4,78.5983,-4.8103,69.6523,-5.06517,SEPARATA,A,ISS,,,,progPLUMES
0152200125,PO0152200R0125,MI,TREZZANO SUL NAVIGLIO,MAFLOW - Via boccaccio 1 - MW E2,,PIEZOMETRO,1504667,5029268,,,,15,ND,ND,,,115.74,78.27902,-4.82094,69.6523,-5.06517,SEPARATA,A,ISS,,,,progPLUMES
0152200138,PO015220NRA230,MI,TREZZANO SUL NAVIGLIO,Electroplating Via Pier della Francesca 25,,PIEZOMETRO,1504342,5029736,,,,15,1,15.00,,,115.88,80.32384,-1.42855,70.38351,-2.60241,SEPARATA,A,ISS,,,,progPLUMES
0152200139,PO015220NRA189,MI,TREZZANO SUL NAVIGLIO,Via Metastasio ProprietÓ Pigiemme,,PIEZOMETRO,1504391,5029616,,,,15,1,15.00,,,115.64,79.70511,-2.37006,70.38351,-2.60241,SEPARATA,A,ISS,,,,progPLUMES
0152200140,PO015220NRA215,MI,TREZZANO SUL NAVIGLIO,Via L. da Vinci c/o ingresso ditta Saratoga,,PIEZOMETRO,1504479,5029665,,,,15,1,15.00,,,115.81,79.29675,-2.33053,70.23715,-2.8399,SEPARATA,A,ISS,,,,progPLUMES
0152200141,PO015220NRA218,MI,TREZZANO SUL NAVIGLIO,Via Edison 76 (c/o Ditta Saratoga),,PIEZOMETRO,1504566,5029494,,,,15,1,15.00,,,115.56,78.01805,-3.66872,70.00554,-3.85497,SEPARATA,A,ISS,,,,progPLUMES
0152200142,PO015220NRA193,MI,TREZZANO SUL NAVIGLIO,Ditta Kara Via Metastasio,,PIEZOMETRO,1504456,5029532,,,,15,1,15.00,,,115.58,78.86896,-3.0618,70.00554,-3.85497,SEPARATA,A,ISS,,,,progPLUMES
