comune,Codice_catastale,zona_omogenea,id_punto,cod_pozzo,tipo_punto,id_pratica,seq_captazione,uso,istat_comune,foglio,mappale,lng,lat,quota_pc,quota_rif,portata,profondita,tetto_primo_filtro,letto_ultimo_filtro,Location
CUSAGO,D229,Magentino Abbiatense,23012,150970086,PIE,n/a,,Piezometro,15097,n/d,n/d,1503125,5032844,125,125,0,8,,,POINT (9.03960791 45.448934)
MILANO,F205,Milano,4933,151460530,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1515677.43,5040039.04,132.7,132.7,0,100,40.03,90.93,POINT (9.20035567 45.513528)
MILANO,F205,Magentino Abbiatense,16859,151461783,PIE,n/a,,Piezometro,15146,n/d,n/d,1513378,5030221,109,109,0,9,,,POINT (9.17065093 45.425204)
MILANO,F205,Magentino Abbiatense,9757,151462504,PIE,n/a,,Piezometro,15146,n/d,n/d,1519820,5032380,106,,0,35,,,POINT (9.25308218 45.444484)
GAGGIANO,D845,Magentino Abbiatense,22822,151030207,POZ,MI03140762008,1,Aree verdi/aree sportive [Prev],15103,16,275,1504397,5028541,,,3,10,2,10,POINT (9.05583615 45.410195)
MILANO,F205,Magentino Abbiatense,13071,151461905,PIE,n/a,,Piezometro,15146,n/d,n/d,1510178,5033817,115,,0,25,,,POINT (9.12982091 45.457625)
PARABIAGO,G324,Magentino Abbiatense,20372,151680064,POZ,MI03235501994,1,Potabile [Prev],15168,2,759,1495587,5045658,182.5,182.5,3,110,45,102,POINT (8.94309589 45.564264)
CORBETTA,C986,Magentino Abbiatense,26434,MI03MI01508500025,POZ,MI0114331994,1,Irriguo [Prev],15085,10,289,,,,,1,,0,5,POINT (0 0)
MILANO,F205,Magentino Abbiatense,16769,151461750,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,,,,POINT (0 0)
MILANO,F205,Milano,28162,MI03MI01514601072,POZ,MI03288622015,2,"Igienico, Aree verdi/aree sportive, Pompa di calore",15146,163,633,1505994,5037571,,,9.01,32,12,30,POINT (9.07635357 45.491463)
SAN GIULIANO MILANESE,H930,Magentino Abbiatense,20748,151950294,PIE,n/a,,Piezometro,15195,n/d,n/d,,,,100,0,6,,,POINT (0 0)
TREZZO sull'ADDA,L411,Magentino Abbiatense,21415,152210060,PIE,n/a,,Piezometro,15221,n/d,n/d,1538348,5051296,207.86,207.86,0,10,,,POINT (9.49147084 45.61397)
VIGNATE,L883,Adda Martesana,8499,152370133,PIE,n/a,,Piezometro,15237,n/d,n/d,1529670,5036570,112.3,112.1,0,15,10,15,POINT (9.37928345 45.48185)
SAN DONATO MILANESE,H827,Sud Est,30490,151920411,PIE,n/a,,Piezometro,15192,n/d,n/d,1520252,5029916,,,0,,,,POINT (9.25850492 45.422293)
ROZZANO,H623,Sud Ovest,26039,151890249,PIE,n/a,,Piezometro,15189,n/d,n/d,1511072,5026707,0,103.5,0,29,,,POINT (9.14109589 45.393614)
SESTO SAN GIOVANNI,I690,Nord Milano,30844,152090549,PIE,n/a,,Piezometro,15209,n/d,n/d,1519427.97,5042834.82,142,142,0,40,,,POINT (9.24848228 45.538598)
BERNATE TICINO,A804,Magentino Abbiatense,20246,150190070,PIE,n/a,,Piezometro,15019,n/d,n/d,1484999,5034499,112,,0,5,,,POINT (8.80776411 45.463675)
MILANO,F205,Milano,4475,151460279,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1518923.61,5037326.76,120.7,120.7,0,106,45.36,104.8,POINT (9.24181026 45.489035)
MILANO,F205,Magentino Abbiatense,15659,151461608,PIE,n/a,,Piezometro,15146,n/d,n/d,1513356,5030270,109,109,0,15,,,POINT (9.17037104 45.425645)
MELEGNANO,F100,Magentino Abbiatense,19889,151400107,PIE,n/a,,Piezometro,15140,n/d,n/d,1524995,5022069,,,0,20,,,POINT (9.31873182 45.35151)
LACCHIARELLA,E395,Sud Ovest,3980,151150034,POZ,MI03305402007,3,Aree verdi/aree sportive,15115,14,18,1510499,5018615,96.1,,5,20,,,POINT (9.1336045 45.320785)
TRIBIANO,L415,Magentino Abbiatense,23543,152220095,PIE,n/a,,Piezometro,15222,n/d,n/d,1528964,5028838,0,0,0,10,,,POINT (9.36979552 45.412285)
MILANO,F205,Magentino Abbiatense,20819,151462838,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1509852.12,5040493.23,140.8,,0,,,,POINT (9.12578628 45.517722)
MILANO,F205,Milano,4510,151460212,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1515771.26,5032737.59,112.7,112.7,0,112,35.15,110.85,POINT (9.20132312 45.447806)
MILANO,F205,Milano,4367,151460113,POZ,MI02706292004,0,N/D,15146,n/d,n/d,1513519.52,5033872.67,116.45,116.45,0,140,101,133.5,POINT (9.17255989 45.45807)
SESTO SAN GIOVANNI,I690,Nord Milano,30810,152090515,PIE,n/a,,Piezometro,15209,n/d,n/d,1519919.82,5042910.38,141.46,141.76,0,40,,,POINT (9.25478501 45.539264)
MILANO,F205,Milano,24850,151463952,PIE,n/a,,Piezometro,15146,n/d,n/d,,,,,0,25,,,POINT (0 0)
MEDIGLIA,F084,Magentino Abbiatense,9682,151390029,POZ,MI017191994,1,Zootecnico [Prev],15139,17,33,1524735,5026940,90,90,1,30,7,10,POINT (9.31565628 45.395363)
MILANO,F205,Milano,29040,151464946,PIE,n/a,,Piezometro,15146,n/d,n/d,1508989.31,5016824.9,133.36,134.57,0,20,,,POINT (9.11431004 45.304693)
MILANO,F205,Milano,5191,151461019,POZ,MI0125181977,1,Industriale [Prev],15146,333,12,1508806,5035029,124,124,20,105,56,96,POINT (9.11229484 45.468553)
PAULLO,G385,Magentino Abbiatense,9914,151690037,POZ,MI0115021995,1,Zootecnico [Prev],15169,2,32,1532075,5031100,99,99,1,29,,30,POINT (9.40969911 45.432509)
